X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.1488040084855,39.7742191967345,104437,500,N,EAST,ST,W,500 N EAST ST,,2881,MULTI SPACE,2012/08/08 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1538489597065,39.7716434519231,104438,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000312,1345,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1506581507382,39.7700485964879,104439,200,N,NEW JERSEY,ST,E,200 N NEW JERSEY ST,NNJ 000205,2672,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1559521402618,39.7771173991108,104440,700,N,PENNSYLVANIA,ST,W,700 N PENNSYLVANIA ST,,889,LOADING ZONE,2019/12/20 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1609515966337,39.7699189673611,104441,100,W,OHIO,ST,S,100 W OHIO ST,WO  000121,3475,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.163786529538,39.7713721255011,104442,300,W,NEW YORK,ST,S,300 W NEW YORK ST,,4057,MULTI SPACE,2012/05/25 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1545203494755,39.7686104635666,104443,100,N,DELAWARE,ST,W,100 N DELAWARE ST,ND  000104,1135,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1508681688602,39.7726039767727,104444,300,E,VERMONT,ST,N,300 E VERMONT ST,EV  000326,1522,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.163471122177,39.7708338005749,104445,200,N,SENATE,AVE,W,200 N SENATE AV,,3120,MULTI SPACE,2019/05/31 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1511477144342,39.7690309083621,104446,300,E,WABASH,ST,S,300 E WABASH ST,EWB 000301,6509,SINGLE SPACE,2018/06/11 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1539665378832,39.7725807819447,104447,200,E,VERMONT,ST,S,200 E VERMONT ST,EV  000205,1548,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1621751832937,39.7720353448121,104448,300,,INDIANA,AVE,,300 INDIANA AV,IND 000313,3676,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1599872571947,39.7626010667471,104449,300,S,ILLINOIS,ST,E,300 S ILLINOIS ST,SILL000315,7423,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1488258216981,39.7738044549207,104450,400,N,EAST,ST,W,400 N EAST ST,,2868,MULTI SPACE,2012/08/08 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1562273542224,39.7755607714707,104451,0000,E,NORTH,ST,N,0000 E NORTH ST,EN  000014,2126,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
