City,Street Address,Rate
New York City,Hester Street,5.375
New York City,10 Avenue,5.375
New York City,Madison Avenue,6.0
New York City,8 Avenue,4.5
New York City,West 39 Street,4.5
New York City,7 Avenue,4.5
New York City,East 54 Street,4.5
New York City,East 53 Street,4.5
New York City,West 13 Street,5.375
New York City,Washington Street,5.375
New York City,Hudson Street,5.375
New York City,East 71 Street,5.375
New York City,3 Avenue,5.375
New York City,West 4 Street,5.375
New York City,Broadway,5.375
New York City,West 40 Street,0.0
New York City,West 41 Street,4.5
New York City,York Avenue,5.375
New York City,Grand Street,0.0
New York City,Lafayette Street,5.375
New York City,Canal Street,4.0
New York City,2 Avenue,0.0
New York City,3 Avenue,6.0
New York City,East 52 Street,5.375
New York City,2 Avenue,5.375
New York City,3 Avenue,5.375
New York City,3 Avenue,0.0
New York City,7 Avenue,4.5
New York City,West 51 Street,4.5
New York City,3 Avenue,5.375
New York City,East 27 Street,5.375
New York City,2 Avenue,5.375
New York City,3 Avenue,6.0
New York City,East Tremont Avenue,1.625
New York City,3 Avenue,2.0
New York City,Westchester Avenue,1.625
New York City,Westchester Avenue,1.625
New York City,East 149 Street,1.625
New York City,East 138 Street,1.625
New York City,Ward Avenue,1.625
New York City,5 Avenue,1.625
New York City,West 6 Street E Rdwy.,1.625
New York City,West 6 Street E Rdwy.,1.625
New York City,East 2 Street,1.625
New York City,Mermaid Avenue,1.625
New York City,Nostrand Avenue,1.625
New York City,14 Avenue,1.625
New York City,Franklin Avenue,1.625
New York City,8 Avenue,1.625
New York City,5 Avenue,1.625
New York City,5 Avenue,1.625
New York City,55 Street,1.625
New York City,Church Avenue,1.625
New York City,Ellery Street,1.625
New York City,Broadway,1.625
New York City,Smith Street,3.0
New York City,Manhattan Avenue,2.0
New York City,Palmetto Street,2.0
New York City,Jamaica Avenue,1.625
New York City,Queens Boulevard,1.25
New York City,108 Street,1.625
New York City,National Street,1.625
New York City,Saunders Street,1.625
New York City,98 Street,1.625
New York City,79 Street,2.0
New York City,65 Drive,1.625
New York City,76 Avenue,1.625
New York City,Roosevelt Avenue,2.0
New York City,84 Street,2.0
New York City,Roosevelt Avenue,1.625
New York City,East 42 Street,0.0
New York City,Broadway,4.5
New York City,West 38 Street,4.5
New York City,Avenue of the Americas,4.5
New York City,Broadway,5.25
New York City,7 Avenue,4.5
New York City,9 Avenue,5.375
New York City,10 Avenue,5.375
New York City,Hudson Street,5.375
New York City,East 45 Street,4.5
New York City,Madison Avenue,0.0
New York City,East 44 Street,4.5
New York City,6 Avenue,5.375
New York City,6 Avenue,5.375
New York City,9 Avenue,5.375
New York City,East 14 Street,0.0
New York City,East 13 Street,5.375
New York City,West 51 Street,4.5
New York City,Park Avenue South,0.0
New York City,East 28 Street,0.0
New York City,West 37 Street,4.5
New York City,8 Avenue,4.5
New York City,West 36 Street,4.5
New York City,East 52 Street,4.5
New York City,East 51 Street,4.5
New York City,Madison Avenue,0.0
New York City,West 33 Street,0.0
New York City,West 32 Street,0.0
New York City,Park Avenue South,0.0
New York City,East 10 Street,5.375
New York City,1 Avenue,5.375
New York City,East 9 Street,5.375
New York City,West 31 Street,0.0
New York City,8 Avenue,0.0
New York City,West 30 Street,0.0
New York City,East 20 Street,5.375
New York City,3 Avenue,5.375
New York City,Walker Street,5.375
New York City,East 35 Street,6.0
New York City,Lexington Avenue,6.0
New York City,East 36 Street,6.0
New York City,10 Avenue,5.375
New York City,9 Avenue,5.375
New York City,West 21 Street,5.375
New York City,East 23 Street,5.375
New York City,123 Street,2.0
New York City,121 Street,2.0
New York City,Stuyvesant Place,2.0
New York City,East 149 Street,1.625
New York City,Castle Hill Avenue,1.625
New York City,18 Avenue,1.625
New York City,Bay Ridge Avenue,1.625
New York City,Van Sicklen Street,1.625
New York City,Kings Highway,1.625
